"Balancing Authority","Directly Interconnected Balancing Authority","Interchange (MW)","UTC Time at End of Hour","DIBA_Region"
AECI,TVA,214,05/23/2025 2:00:00 AM,TEN
AECI,MISO,835,05/23/2025 3:00:00 AM,MIDW
AECI,SPA,-169,05/23/2025 3:00:00 AM,CENT
AECI,SWPP,-86,05/23/2025 3:00:00 AM,CENT
AECI,TVA,205,05/23/2025 3:00:00 AM,TEN
AECI,MISO,812,05/23/2025 4:00:00 AM,MIDW
AECI,SPA,-72,05/23/2025 4:00:00 AM,CENT
AECI,SWPP,-229,05/23/2025 4:00:00 AM,CENT
AECI,TVA,189,05/23/2025 4:00:00 AM,TEN
AECI,MISO,728,05/23/2025 5:00:00 AM,MIDW
AECI,SPA,-54,05/23/2025 5:00:00 AM,CENT
AECI,SWPP,-231,05/23/2025 5:00:00 AM,CENT
AECI,TVA,161,05/23/2025 5:00:00 AM,TEN
AECI,MISO,715,05/23/2025 6:00:00 AM,MIDW
AECI,SPA,-10,05/23/2025 6:00:00 AM,CENT
AECI,SWPP,-197,05/23/2025 6:00:00 AM,CENT
AECI,TVA,143,05/23/2025 6:00:00 AM,TEN
AECI,MISO,718,05/23/2025 7:00:00 AM,MIDW
AECI,SPA,47,05/23/2025 7:00:00 AM,CENT
AECI,SWPP,-376,05/23/2025 7:00:00 AM,CENT
AECI,TVA,135,05/23/2025 7:00:00 AM,TEN
AECI,MISO,737,05/23/2025 8:00:00 AM,MIDW
AECI,SPA,67,05/23/2025 8:00:00 AM,CENT
AECI,SWPP,-461,05/23/2025 8:00:00 AM,CENT
AECI,TVA,136,05/23/2025 8:00:00 AM,TEN
AECI,MISO,675,05/23/2025 9:00:00 AM,MIDW
AECI,SPA,108,05/23/2025 9:00:00 AM,CENT
AECI,SWPP,-489,05/23/2025 9:00:00 AM,CENT
AECI,TVA,138,05/23/2025 9:00:00 AM,TEN
AECI,MISO,729,05/23/2025 10:00:00 AM,MIDW
AECI,SPA,8,05/23/2025 10:00:00 AM,CENT
AECI,SWPP,-237,05/23/2025 10:00:00 AM,CENT
AECI,TVA,147,05/23/2025 10:00:00 AM,TEN
AECI,MISO,857,05/23/2025 11:00:00 AM,MIDW
AECI,SPA,-28,05/23/2025 11:00:00 AM,CENT
AECI,SWPP,-262,05/23/2025 11:00:00 AM,CENT
AECI,TVA,159,05/23/2025 11:00:00 AM,TEN
AECI,MISO,695,05/23/2025 12:00:00 PM,MIDW
AECI,SPA,18,05/23/2025 12:00:00 PM,CENT
AECI,SWPP,-258,05/23/2025 12:00:00 PM,CENT
AECI,TVA,153,05/23/2025 12:00:00 PM,TEN
AECI,MISO,470,05/23/2025 1:00:00 PM,MIDW
AECI,SPA,68,05/23/2025 1:00:00 PM,CENT
AECI,SWPP,-149,05/23/2025 1:00:00 PM,CENT
AECI,TVA,131,05/23/2025 1:00:00 PM,TEN
AECI,MISO,430,05/23/2025 2:00:00 PM,MIDW
AECI,SPA,48,05/23/2025 2:00:00 PM,CENT
AECI,SWPP,-24,05/23/2025 2:00:00 PM,CENT
AECI,TVA,130,05/23/2025 2:00:00 PM,TEN
AECI,MISO,391,05/23/2025 3:00:00 PM,MIDW
