pl_name,hostname,pl_letter,sy_pnum,soltype,default_flag,pl_refname,pl_pubdate,pl_orbper,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,disc_year,discoverymethod,sy_dist
"Kepler-1641 c","Kepler-1641","c",2,"Published Confirmed",0,"<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>","2019-03",32.65428814990,,,,,,,,,,2016,"Transit",860.37000000
"Kepler-1642 b","Kepler-1642","b",2,"Published Confirmed",1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",12.20575130000,3.20000000,0.34000000,-0.25000000,0,,,,,,2016,"Transit",413.87300000
"Kepler-1642 b","Kepler-1642","b",2,"Published Confirmed",0,"<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>","2018-10",,2.77000000,0.26200000,-0.22200000,0,,,,,,2016,"Transit",413.87300000
"Kepler-1642 b","Kepler-1642","b",2,"Published Confirmed",0,"<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>","2019-03",12.20598062810,,,,,,,,,,2016,"Transit",413.87300000
"Kepler-1642 c","Kepler-1642","c",2,"Published Confirmed",1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",6.65138020000,2.66000000,0.29000000,-0.21000000,0,,,,,,2016,"Transit",413.87300000
"Kepler-1642 c","Kepler-1642","c",2,"Published Confirmed",0,"<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>","2018-10",,2.46400000,0.22700000,-0.20800000,0,,,,,,2016,"Transit",413.87300000
"Kepler-1642 c","Kepler-1642","c",2,"Published Confirmed",0,"<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>","2019-03",6.65104254360,,,,,,,,,,2016,"Transit",413.87300000
"Kepler-1643 b","Kepler-1643","b",1,"Published Confirmed",0,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",5.34264507000,2.30000000,0.25000000,-0.15000000,0,,,,,,2016,"Transit",341.77400000
"Kepler-1643 b","Kepler-1643","b",1,"Published Confirmed",0,"<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>","2018-10",,2.05800000,0.19100000,-0.15400000,0,,,,,,2016,"Transit",341.77400000
"Kepler-1643 b","Kepler-1643","b",1,"Published Confirmed",0,"<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>","2019-03",5.34260504470,,,,,,,,,,2016,"Transit",341.77400000
"Kepler-1643 b","Kepler-1643","b",1,"Published Confirmed",1,"<a refstr=BOUMA_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..215B/abstract target=ref>Bouma et al. 2022</a>","2022-11",5.34265700000,2.32000000,0.13000000,-0.13000000,0,,,,,,2016,"Transit",341.77400000
"Kepler-1644 b","Kepler-1644","b",1,"Published Confirmed",1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",21.09077580000,1.88000000,0.52000000,-0.16000000,0,,,,,,2016,"Transit",629.27000000
